LA SAGRADA,"40.743607,-6.072182"
VILLABARUZ DE CAMPOS,"42.010352,-4.9953"
NOGAL DE LAS HUERTAS,"42.393314,-4.641243"
VILLAFLORES,"41.083543,-5.233754"
BOADILLA DE RIOSECO,"42.178273,-4.968525"
MESEGAR DE CORNEJA,"40.501572,-5.301507"
GRADEFES,"42.623816,-5.226177"
MONTEJO DE TIERMES,"41.368546,-3.199736"
VILLATURDE,"42.376698,-4.671189"
FRECHILLA,"42.137055,-4.83873"
UMBRIAS,"40.315809,-5.580647"
LOMOVIEJO,"41.1499,-4.917847"
SANTA CROYA DE TERA,"41.983568,-5.974788"
JUNCIANA,"40.411024,-5.557415"
ALDEASONA,"41.471351,-4.055672"
CHAGARCIA MEDIANERO,"40.649707,-5.382281"
POZALDEZ,"41.371983,-4.846038"
VENTOSA DE LA CUESTA,"41.412759,-4.831303"
VILLAMIEL DE LA SIERRA,"42.19302,-3.419146"
DIEGO DEL CARPIO,"40.664815,-5.326063"
PUEBLA DE AZABA,"40.446846,-6.745221"
CUBILLAS DE LOS OTEROS,"42.371707,-5.507514"
FUENTES DE ONORO,"40.589462,-6.81175"
LA HOYA,"40.406872,-5.699542"
SAN VITERO,"41.778447,-6.349144"
LA VID DE OJEDA,"42.659136,-4.38495"
EL BARRACO,"40.476079,-4.641142"
FRESNO DE RODILLA,"42.418823,-3.483545"
LOS LLANOS DE TORMES,"40.328312,-5.498676"
COZUELOS DE FUENTIDUENA,"41.391336,-4.095285"
LA REDONDA,"40.908303,-6.749546"
SANZOLES,"41.4326,-5.567473"
COGOLLOS,"42.201566,-3.699014"
FUENTEPELAYO,"41.220791,-4.176804"
SAN PEDRO DE LA NAVE-ALMENDRA,"41.591479,-5.921549"
MARTINEZ,"40.630813,-5.34692"
LA BANEZA,"42.29655,-5.899119"
ROLLAN,"40.961931,-5.916909"
VALDEPOLO,"42.576998,-5.225729"
PINILLA DE LOS MOROS,"42.068124,-3.328876"
BELVER DE LOS MONTES,"41.722693,-5.452048"
VILLALOBOS,"41.948233,-5.475756"
VALDEFRESNO,"42.593744,-5.49251"
LA CALZADA DE BEJAR,"40.409978,-5.815877"
SAN PEDRO DE ROZADOS,"40.790567,-5.738097"
MORILLE,"40.806982,-5.697829"
ESPINOSA DE VILLAGONZALO,"42.481354,-4.370744"
SANTIBANEZ DE LA SIERRA,"40.494079,-5.915348"
BERCIAL,"40.905871,-4.436307"
CARRASCAL DE BARREGAS,"40.978695,-5.761913"
HONTORIA DE CERRATO,"41.911204,-4.443069"
ITUERO Y LAMA,"40.800284,-4.377497"
BELENA,"40.750987,-5.627483"
VILLALCAMPO,"41.523046,-6.046584"
VALDESAMARIO,"42.721508,-5.951445"
SAN PEDRO MANRIQUE,"42.029577,-2.230619"
POVEDA DE LAS CINTAS,"41.046086,-5.260803"
RIOCAVADO DE LA SIERRA,"42.153986,-3.197992"
POBLACION DE CERRATO,"41.792953,-4.428186"
EL CERRO,"40.327831,-5.915049"
ENCINAS,"41.374769,-3.668523"
VILLAMARTIIN DE DON SANCHO,"42.570625,-5.061023"
VALLERUELA DE PEDRAZA,"41.179416,-3.806666"
PERALEJOS DE ABAJO,"41.004329,-6.363154"
BOADA DE CAMPOS,"41.988383,-4.876984"
ARMENTEROS,"40.592929,-5.449177"
PRADO,"41.920833,-5.419828"
SANTA MARIA DE LOS CABALLEROS,"40.388177,-5.451576"
COCA,"41.218402,-4.522131"
CEREZO DE RIO TIRON,"42.492707,-3.136381"
MONTEJO DE AREVALO,"41.140399,-4.6652"
ARCOS,"42.264695,-3.756698"
VALLES DE PALENZUELA,"42.120275,-4.078582"
CABANAS DE POLENDOS,"41.067169,-4.109837"
VILLAVERDE DEL MONTE,"42.160739,-3.812958"
MORALEJA DE SAYAGO,"41.183803,-6.003873"
SANTA MARIA DEL CUBILLO,"40.742212,-4.472778"
ALDEALENGUA,"40.982274,-5.549634"
VIDEMALA,"41.612033,-6.040129"
LA ALBERGUERIA DE ARGANAN,"40.412241,-6.813318"
OLVEGA,"41.780458,-1.982666"
ZUNEDA,"42.604988,-3.225447"
QUINONERIA,"41.56851,-2.037681"
SANTA EUFEMIA DEL BARCO,"41.678493,-5.899538"
VILLAQUIRAN DE LA PUEBLA,"42.282949,-4.09985"
NAVALACRUZ,"40.439978,-4.932213"
AYOO DE VIDRIALES,"42.130067,-6.065707"
VALDECASA,"40.659187,-5.011577"
SANTA MARIA RIVARREDONDA,"42.642595,-3.180009"
VALDEVACAS Y GUIJAR,"41.145596,-3.911057"
SAN JUAN DEL MOLINILLO,"40.458927,-4.819256"
OLMOS DE OJEDA,"42.722251,-4.424984"
CASTRILLO DE RIOPISUERGA,"42.515748,-4.253352"
SERRADILLA DEL LLANO,"40.49971,-6.358421"
ALMARAZ DE DUERO,"41.4741,-5.915668"
VILORIA DE RIOJA,"42.425648,-3.100984"
ARENILLAS DE RIOPISUERGA,"42.35737,-4.233808"
ALMEIDA DE SAYAGO,"41.266208,-6.075509"
POZA DE LA VEGA,"42.578297,-4.796782"
REVENGA DE CAMPOS,"42.285638,-4.481317"
LOS ALTOS,"42.807592,-3.63302"
AGUASAL,"41.274531,-4.652536"
BORJABAD,"41.553708,-2.364948"
PEROSILLO,"41.39282,-4.14184"
BUSTILLO DEL ORO,"41.675185,-5.462556"
LAS ALDEHUELAS,"41.994965,-2.366008"
SAN MIGUEL DE SERREZUELA,"40.670366,-5.288092"
PALACIOS DEL PAN,"41.601804,-5.878221"
VILLAVENDIMIO,"41.578619,-5.342834"
MONTEAGUDO DE LAS VICARIAS,"41.366293,-2.166643"
SAN VICENTE DE AREVALO,"40.967983,-4.800637"
ACEBEDO,"43.039405,-5.116544"
SAN VICENTE DE LA CABEZA,"41.80438,-6.253115"
VILLAFAFILA,"41.848791,-5.61465"
ALAEJOS,"41.307568,-5.216757"
ESPEJA DE SAN MARCELINO,"41.802153,-3.22091"
CASTREJON DE LA PENA,"42.807952,-4.599288"
ARGANZA,"42.640782,-6.683975"
CERRATON DE JUARROS,"42.422384,-3.373869"
MEDINA DE RIOSECO,"41.883071,-5.043182"
SANTA MARIA DEL TIETAR,"40.304015,-4.554992"
FRESNO DE LA VEGA,"42.344061,-5.536156"
LA ADRADA,"40.301364,-4.63746"
CORDOVILLA,"40.951262,-5.405973"
NAVADIJOS,"40.42559,-5.083563"
MATALLANA DE TORIO,"42.866262,-5.520096"
HERRADON DE PINARES,"40.565312,-4.56023"
ESPEJON,"41.830906,-3.259149"
GOMECELLO,"41.042574,-5.535449"
PERILLA DE CASTRO,"41.725449,-5.876645"
VALLE DE CERRATO,"41.879402,-4.363428"
TORRECILLA DE LA ORDEN,"41.219535,-5.222893"
SANTO DOMINGO DE SILOS,"41.962906,-3.417637"
VINUESA,"41.911792,-2.762725"
ZARZOSA DE RIO PISUERGA,"42.536209,-4.26807"
VILLALAZAN,"41.494172,-5.588951"
SAN CEBRIAN DE CAMPOS,"42.201325,-4.530691"
